held_out_source,inner_validation_source,l2,campaign_macro_ndcg5,two_source_mean_ndcg5,selected,inner_training_rows,validation_rows
attack_flow,ctid,0.001,0.16661104682188416,0.16874453277041057,0,109,263
attack_flow,ctid,0.01,0.16646560804075486,0.170287043091448,0,109,263
attack_flow,ctid,0.1,0.17132903899802532,0.17271875857008323,1,109,263
attack_flow,stockpile,0.001,0.170878018718937,0.16874453277041057,0,263,109
attack_flow,stockpile,0.01,0.17410847814214114,0.170287043091448,0,263,109
attack_flow,stockpile,0.1,0.17410847814214114,0.17271875857008323,1,263,109
ctid,attack_flow,0.001,0.23050070107655024,0.20048809604844992,0,109,412
ctid,attack_flow,0.01,0.230625279605563,0.20236687887385207,0,109,412
ctid,attack_flow,0.1,0.2338262648665125,0.2039673715043268,1,109,412
ctid,stockpile,0.001,0.17047549102034962,0.20048809604844992,0,412,109
ctid,stockpile,0.01,0.17410847814214114,0.20236687887385207,0,412,109
ctid,stockpile,0.1,0.17410847814214114,0.2039673715043268,1,412,109
stockpile,attack_flow,0.001,0.24095229793675418,0.21720869465044285,1,263,412
stockpile,attack_flow,0.01,0.24010145250687326,0.21719035476355758,0,263,412
stockpile,attack_flow,0.1,0.24010145250687326,0.21719035476355758,0,263,412
stockpile,ctid,0.001,0.1934650913641315,0.21720869465044285,1,412,263
stockpile,ctid,0.01,0.19427925702024187,0.21719035476355758,0,412,263
stockpile,ctid,0.1,0.19427925702024187,0.21719035476355758,0,412,263
