comparison,metric,point_estimate,ci95_low,ci95_high,replicates,seed
RGAF-B0,ndcg5,-0.0026756967121713926,-0.0043566079073966675,-0.0011826395108505844,2000,20260807
RGAF-B0,hit5,-0.008525002054981017,-0.014661462266695437,-0.0034433229813664585,2000,20260807
RGAF-B0,precision5,-0.0024003854373770214,-0.004129745416750151,-0.0009932943400685341,2000,20260807
RGAF-B0,recall5,-0.004080007474993448,-0.006973455451650577,-0.0016826923076923063,2000,20260807
RGAF-RGAF-Shuffle,ndcg5,-0.0026756967121713926,-0.0043566079073966675,-0.0011826395108505844,2000,20260807
RGAF-RGAF-Shuffle,hit5,-0.008525002054981017,-0.014661462266695437,-0.0034433229813664585,2000,20260807
RGAF-RGAF-Shuffle,precision5,-0.0024003854373770214,-0.004129745416750151,-0.0009932943400685341,2000,20260807
RGAF-RGAF-Shuffle,recall5,-0.004080007474993448,-0.006973455451650577,-0.0016826923076923063,2000,20260807
RGAF-UniformResidual,ndcg5,0.03342503974694815,0.015652869718054088,0.05326510809875291,2000,20260807
RGAF-UniformResidual,hit5,0.05016919266235872,0.009842373747219028,0.0896316729871376,2000,20260807
RGAF-UniformResidual,precision5,0.02541872204095449,0.015203601665393826,0.03578987890384299,2000,20260807
RGAF-UniformResidual,recall5,0.03282265557072465,0.004141136517669065,0.061405717138604134,2000,20260807
UniformResidual-B0,ndcg5,-0.03610073645911955,-0.05590296303105742,-0.01829355483809887,2000,20260807
UniformResidual-B0,hit5,-0.05869419471733974,-0.09664371384922771,-0.01841351143386014,2000,20260807
UniformResidual-B0,precision5,-0.027819107478331512,-0.03862419156416511,-0.01736329966083506,2000,20260807
UniformResidual-B0,recall5,-0.036902663045718105,-0.06573443910693326,-0.00840893076837464,2000,20260807
