pilot_slot,source,old_campaign_id,old_prefix_len,old_prefix,mapping_status,mapping_reason,new_sample_id,new_campaign_id,new_prefix_len,new_prefix_endpoint_step_id,length_stratum,selection_sha256
attack_flow:long:1,attack_flow,WhisperGate,12,"[""T1078"",""T1105"",""T1542"",""T1059"",""T1105"",""T1027"",""T1027"",""T1059"",""T1562"",""T1140"",""T1027"",""T1059""]",direct_prefix_match,,attack_flow::WhisperGate::0012,WhisperGate,12,attack_flow::WhisperGate::490d6448-7f30-42f8-8269-8070af8c8923,long,090ff3e2c75e679227c456c634a2e7dae01ab9cfa6fb523d488901b8baa6aaf1
attack_flow:long:2,attack_flow,Conti Ransomware,13,"[""T1566"",""T1059"",""T1105"",""T1218"",""T1105"",""T1033"",""T1134"",""T1021"",""T1046"",""T1021"",""T1021"",""T1021"",""T1087""]",direct_prefix_match,,attack_flow::Conti Ransomware::0013,Conti Ransomware,13,attack_flow::Conti Ransomware::3dde05e7-c85d-491c-9477-8f8c8f09c3a4,long,585227879c9333cf8b3091a4f62ba1787d5f0187f845db5c31b70d6287c96ced
attack_flow:long:3,attack_flow,SolarWinds,17,"[""T1587"",""T1195"",""T1569"",""T1497"",""T1057"",""T1568"",""T1132"",""T1562"",""T1558"",""T1562"",""T1053"",""T1036"",""T1047"",""T1070"",""T1562"",""T1082"",""T1005""]",direct_prefix_match,,attack_flow::SolarWinds::0017,SolarWinds,17,attack_flow::SolarWinds::0ce96a7f-cab8-4842-b19d-83db4586deca,long,d35982d19c7e1a7be0b3de9b069f485ba5c490ea6feea8e7e5ca123d3a719327
attack_flow:medium:1,attack_flow,Hancitor DLL,9,"[""T1566"",""T1204"",""T1059"",""T1218"",""T1105"",""T1055"",""T1087"",""T1105"",""T1497""]",direct_prefix_match,,attack_flow::Hancitor DLL::0009,Hancitor DLL,9,attack_flow::Hancitor DLL::615f4282-5407-44e4-b0e1-b68198baadd3,medium,738ae0bd0a78bb743f221c2cf043c40e93ec5d00d0197911345f84a33b6c20e6
attack_flow:medium:2,attack_flow,JP Morgan Breach,7,"[""T1566"",""T1056"",""T1190"",""T1068"",""T1056"",""T1030"",""T1090""]",direct_prefix_match,,attack_flow::JP Morgan Breach::0007,JP Morgan Breach,7,attack_flow::JP Morgan Breach::15f080d7-77c0-4583-ba2c-a866de1f2d9a,medium,bf5240cf544a8f020a42bfbcd6dfb879d00ea638ea6b0169901a32041554cac2
attack_flow:medium:3,attack_flow,FIN13 Case 2,6,"[""T1190"",""T1105"",""T1505"",""T1203"",""T1003"",""T1595""]",direct_prefix_match,,attack_flow::FIN13 Case 2::0006,FIN13 Case 2,6,attack_flow::FIN13 Case 2::47fdc13f-2f34-4b53-8cf5-82646d3f12c7,medium,a9550443a2dc211622eff0b6f75b6d7a30407e382ae4257fb828097b600d5517
attack_flow:medium:4,attack_flow,Muddy Water,7,"[""T1566"",""T1204"",""T1204"",""T1059"",""T1547"",""T1059"",""T1059""]",direct_prefix_match,,attack_flow::Muddy Water::0007,Muddy Water,7,attack_flow::Muddy Water::80364c38-1930-40ab-a6aa-7d01bc8a11ae,medium,270b2b8cb1696b0b8793ceff87e0745ab2887e2dda8deab2f6b95fbdf96447f4
attack_flow:short:1,attack_flow,Gootloader,4,"[""T1584"",""T1189"",""T1204"",""T1059""]",direct_prefix_match,,attack_flow::Gootloader::0004,Gootloader,4,attack_flow::Gootloader::89b4e412-c715-4a2f-b04f-1024d7c3b9c6,short,962548eafd5fcc63dfac7add3a0de8c481b51f60e079c409a8325cdc1a3052ef
attack_flow:short:2,attack_flow,Maastricht University Ransomware,2,"[""T1566"",""T1204""]",direct_prefix_match,,attack_flow::Maastricht University Ransomware::0002,Maastricht University Ransomware,2,attack_flow::Maastricht University Ransomware::47ffc519-7b5c-419d-8b4d-d738abb1ef1f,short,bafccb49662313989d6c8044b3241a3422889a1755a7ab08a8306384f973b9d3
attack_flow:short:3,attack_flow,Mac Malware Steals Crypto,3,"[""T1059"",""T1211"",""T1105""]",direct_prefix_match,,attack_flow::Mac Malware Steals Crypto::0003,Mac Malware Steals Crypto,3,attack_flow::Mac Malware Steals Crypto::5be1aafd-dc2a-4a68-aab0-745bd70b7427,short,320d5e93a866151057d1e9e5bb8bd8f2a55cafba2f10109955198b24cac60cb4
