sample_id,source,campaign_id,prefix_len,prefix_endpoint_step_id,observed_parent_ids,observed_step_ids,observed_tactic_multihot,history_tactic_mapping_missing,target_parent_ids,target_step_ids,target_size,last_description_chars,text_length_group,is_development,development_slot
attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd,"[""T1566""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1140"",""T1204"",""T1059""]","[""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c""]",3,72,ge40,0,
attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc,"[""T1566"",""T1140""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0]]",[],"[""T1204"",""T1059""]","[""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a""]",2,80,ge40,0,
attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d,"[""T1566"",""T1140"",""T1204""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1059"",""T1574""]","[""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268""]",2,97,ge40,0,
attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c,"[""T1566"",""T1140"",""T1204"",""T1059""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1059"",""T1574"",""T1218""]","[""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc""]",3,45,ge40,0,
attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0]]",[],"[""T1574"",""T1218"",""T1136""]","[""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0""]",3,105,ge40,0,
attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,0,0,0,0,0,0,0]]",[],"[""T1218"",""T1136"",""T1484""]","[""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c""]",3,108,ge40,0,
attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0]]",[],"[""T1136"",""T1484"",""T1098""]","[""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6""]",3,47,ge40,0,
attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0]]",[],"[""T1484"",""T1098"",""T1573""]","[""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6"",""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c""]",3,58,ge40,0,
attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,1,0,0,0,0,0,0,0]]",[],"[""T1098"",""T1573"",""T1105""]","[""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6"",""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c"",""attack_flow::Black Basta Ransomware::21faed62-d790-40dd-a97c-e20cad02e4ed""]",3,74,ge40,0,
attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6,"[""T1566"",""T1140"",""T1204"",""T1059"",""T1059"",""T1574"",""T1218"",""T1136"",""T1484"",""T1098""]","[""attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd"",""attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc"",""attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d"",""attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c"",""attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a"",""attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268"",""attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc"",""attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0"",""attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c"",""attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6""]","[[0,0,1,0,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,1,0,0,0,0,0,0,0,0,0,0],[0,0,0,0,1,1,1,0,0,0,0,0,0,0],[0,0,0,0,0,0,1,0,0,0,0,0,0,0],[0,0,0,0,1,0,0,0,0,0,0,0,0,0],[0,0,0,0,0,1,1,0,0,0,0,0,0,0],[0,0,0,0,1,1,0,0,0,0,0,0,0,0]]",[],"[""T1573"",""T1105"",""T1555""]","[""attack_flow::Black Basta Ransomware::8db6f663-3eda-4a6d-b887-3b67ac5d218c"",""attack_flow::Black Basta Ransomware::21faed62-d790-40dd-a97c-e20cad02e4ed"",""attack_flow::Black Basta Ransomware::2d4931da-3298-420c-ace1-582fabc4a558""]",3,84,ge40,0,
