source,campaign_id,step_index,stable_step_id,raw_technique_id,parent_technique_id,description_clean,description_chars,has_description,description_truncated,raw_description_had_attack_id,step_name_audit_only,description_raw_audit_only,source_file_audit_only,source_file_sha256
attack_flow,Black Basta Ransomware,0,attack_flow::Black Basta Ransomware::a3679838-b02f-4c2b-a0b6-d3450ca2e1dd,T1566.001,T1566,Victims receive spear phishing emails with malicious zip files attached.,72,1,0,0,Phishing: Spearphishing Attachment,Victims receive spear phishing emails with  malicious zip files attached.,data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,1,attack_flow::Black Basta Ransomware::b2345e48-33c8-4a67-99cc-7dec00f978cc,T1140,T1140,"Due to password protection, the zip files are able to bypass some AV detections.",80,1,0,0,Deobfuscate/Decode Files or Information,"Due to password protection, the zip files are able to bypass some AV detections.",data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,2,attack_flow::Black Basta Ransomware::e5715d9b-4fd2-4ad3-85f8-75d958bddb5d,T1204.002,T1204,"The zip files are extracted and usually contain a malicious document, such as a.doc,.pdf, or.xls.",97,1,0,0,User Execution: Malicious File,"The zip files are extracted and usually contain a malicious document, such as a .doc, .pdf, or .xls.",data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,3,attack_flow::Black Basta Ransomware::b681891b-bd67-4d54-8cd0-ceb3cce9767c,T1059.005,T1059,The extracted files contain malicious macros.,45,1,0,0,Command and Scripting Interpreter: Visual Basic,The extracted files contain malicious macros.,data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,4,attack_flow::Black Basta Ransomware::ec4f8e09-7106-478a-886b-82d0732cf97a,T1059.001,T1059,"Within the malicious files, encoded PowerShell scripts are used to download additional malicious scripts.",105,1,0,0,Command and Scripting Interpreter: PowerShell,"Within the malicious files, encoded PowerShell scripts are used to download additional malicious scripts.",data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,5,attack_flow::Black Basta Ransomware::c94bdb43-30a0-47ec-8bd9-b4487fdde268,T1574.001,T1574,"Black Basta uses Qakbot DLL files, which can exploit the Windows 7 calculator to execute malicious payloads.",108,1,0,0,Hijack Execution Flow: DLL Search Order Hijacking,"Black Basta uses Qakbot DLL files, which can exploit the Windows 7 calculator to execute malicious payloads.",data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,6,attack_flow::Black Basta Ransomware::9f5746cd-931b-4e2a-815f-b65519baabfc,T1218.010,T1218,regsvr32.exe is used to execute a malicious DLL,47,1,0,0,System Binary Proxy Execution: Regsvr32,regsvr32.exe is used to execute a malicious DLL,data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,7,attack_flow::Black Basta Ransomware::d88229be-c790-4963-92e8-ca0bf0080ad0,T1136,T1136,"Accounts are created with names such as temp, r, or admin.",58,1,0,0,Create Account,"Accounts are created with names such as temp, r, or admin.",data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,8,attack_flow::Black Basta Ransomware::1ab99f8c-71a2-4518-a034-9100998b949c,T1484.001,T1484,The Group Policy is modified for privilege escalation and defense evasion.,74,1,0,0,Domain Policy Modification: Group Policy Modification,The Group Policy is modified for privilege escalation and defense evasion.,data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
attack_flow,Black Basta Ransomware,9,attack_flow::Black Basta Ransomware::599cf0b7-3d8f-4988-85de-4301a29f86b6,T1098,T1098,The new accounts are added to the administrator's group to maintain elevated access.,84,1,0,0,Account Manipulation,The new accounts are added to the administrator's group to maintain elevated access.,data_v2/repro_external/attack_flow/corpus/Black Basta Ransomware.afb,7a899ca862eaa48b85da60e8e079095fba9e9cd3a54b273d1db82884c8b552aa
