label_index,parent_technique_id,tactics,tactic_indices,multi_hot_14,mapping_missing
0,T1001,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
1,T1003,"[""credential-access""]",[7],"[0,0,0,0,0,0,0,1,0,0,0,0,0,0]",0
2,T1004,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
3,T1005,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
4,T1006,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
5,T1007,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
6,T1008,"[""command-and-control""]",[11],"[0,0,0,0,0,0,0,0,0,0,0,1,0,0]",0
7,T1010,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
8,T1012,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
9,T1014,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
10,T1016,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
11,T1018,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
12,T1020,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
13,T1021,"[""lateral-movement""]",[9],"[0,0,0,0,0,0,0,0,0,1,0,0,0,0]",0
14,T1025,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
15,T1027,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
16,T1030,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
17,T1033,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
18,T1036,"[""defense-evasion""]",[6],"[0,0,0,0,0,0,1,0,0,0,0,0,0,0]",0
19,T1037,"[""persistence"",""privilege-escalation""]","[4,5]","[0,0,0,0,1,1,0,0,0,0,0,0,0,0]",0
20,T1039,"[""collection""]",[10],"[0,0,0,0,0,0,0,0,0,0,1,0,0,0]",0
21,T1040,"[""credential-access"",""discovery""]","[7,8]","[0,0,0,0,0,0,0,1,1,0,0,0,0,0]",0
22,T1041,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
23,T1046,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
24,T1047,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
25,T1048,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
26,T1049,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
27,T1052,"[""exfiltration""]",[12],"[0,0,0,0,0,0,0,0,0,0,0,0,1,0]",0
28,T1053,"[""execution"",""persistence"",""privilege-escalation""]","[3,4,5]","[0,0,0,1,1,1,0,0,0,0,0,0,0,0]",0
29,T1055,"[""privilege-escalation"",""defense-evasion""]","[5,6]","[0,0,0,0,0,1,1,0,0,0,0,0,0,0]",0
30,T1056,"[""credential-access"",""collection""]","[7,10]","[0,0,0,0,0,0,0,1,0,0,1,0,0,0]",0
31,T1057,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
32,T1059,"[""execution""]",[3],"[0,0,0,1,0,0,0,0,0,0,0,0,0,0]",0
33,T1060,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
34,T1067,"[""persistence""]",[4],"[0,0,0,0,1,0,0,0,0,0,0,0,0,0]",0
35,T1068,"[""privilege-escalation""]",[5],"[0,0,0,0,0,1,0,0,0,0,0,0,0,0]",0
36,T1069,"[""discovery""]",[8],"[0,0,0,0,0,0,0,0,1,0,0,0,0,0]",0
