embedding_row,sample_id,is_development,development_slot,token_count,oldest_events_removed,retained_text_sha256,l2_norm
0,attack_flow::Black Basta Ransomware::0001,0,,39,0,d60c665d24e8cffffb9ad0c8d52572b8f2b65a0469e2e6ca48452d367453db57,0.9999998807907104
1,attack_flow::Black Basta Ransomware::0002,0,,79,0,140c2b61f9ade225efb93d60575c538b0dcd9b4b0d0eedc17526974af261aba1,1.0000001192092896
2,attack_flow::Black Basta Ransomware::0003,0,,126,0,86d1ee826b6e8da89a8d40e02cd113871d6eb178822d10a520348f6ac2fadeb4,0.9999999403953552
3,attack_flow::Black Basta Ransomware::0004,0,,155,0,d08b0daf66241ee4b6b8a1498119b54381be24d0e180780a7748228ec0d6cf45,0.9999998807907104
4,attack_flow::Black Basta Ransomware::0005,0,,199,0,c268f675b292a2f1c99b772b78dba00b53e6694f0c38af8705a17fcf98dc2ef7,0.9999999403953552
5,attack_flow::Black Basta Ransomware::0006,0,,256,0,11771c29706af12b95c1df03d0be17e816ff5ad67746fa2d2d404dbb1f74100b,0.9999999403953552
6,attack_flow::Black Basta Ransomware::0007,0,,293,0,677c742b675a0ccc7457b44c27c4a0ccb9fcc5dd23da1766baab3202bc7a6f1d,1.0
7,attack_flow::Black Basta Ransomware::0008,0,,327,0,523322de005c13ea205aa811d3ffdf81af6ab776f4e4a0da510908e93fde65f6,0.9999999403953552
8,attack_flow::Black Basta Ransomware::0009,0,,369,0,dd3346f7b99e62cf70411b80579dc68a16258c53d8ca3ad0c2bc724d496a1c7c,0.9999999403953552
9,attack_flow::Black Basta Ransomware::0010,0,,412,0,12c7137d675bad2a82d38a47eb80775ad99c00e7ec98004f5b36e3cdbb5e2f20,0.9999998807907104
10,attack_flow::Black Basta Ransomware::0011,0,,447,0,8154d4b717fc592656ca4c370e6710d1db0667d6e0883552bae7e73298e750ed,0.9999999403953552
11,attack_flow::Black Basta Ransomware::0012,0,,484,0,f0e2d17311230e0b6bae8b0951b196070361fbef5117e32fea952b1ffcb6c72a,0.9999999403953552
12,attack_flow::Black Basta Ransomware::0013,0,,517,0,1479d582bffacd1e57bf5761f54ebdbbecb136b02feadc8e79cc4fde708652db,0.9999998807907104
13,attack_flow::Black Basta Ransomware::0014,0,,545,0,908ebef3082774e48fb78b87c6b0418faf216080b127e349e62f0a78798c967e,0.9999999403953552
14,attack_flow::Black Basta Ransomware::0015,0,,586,0,27e106ac2a89bb4b29c0accb0cddade35f9a4deb293e3b6e20afc6a2cd04539f,1.0
15,attack_flow::Black Basta Ransomware::0016,0,,632,0,3283db419a6d885a1ee13b024c65270be7232907eccb423f1e533fb0e95a6816,1.0000001192092896
16,attack_flow::Black Basta Ransomware::0017,0,,661,0,cdac357806b3014f176fc5b352f2e5ce4e3a8e14598ea3a91d80fc41bfbc6ca1,1.0
17,attack_flow::Black Basta Ransomware::0018,0,,698,0,05ef021268426c7e58faf44f80d32422654d5dea87186a144010c977bcc1120c,1.0
18,attack_flow::Black Basta Ransomware::0019,0,,735,0,aa8125dcaae8a80b9b4b80e33d90dab0797067024efe97d67d0b370421850a28,1.0
19,attack_flow::Black Basta Ransomware::0020,0,,773,0,469fec02312676bbfccccd31afe530939e43eacb49777099098a6ded29807277,1.0
20,attack_flow::Black Basta Ransomware::0021,0,,810,0,817f53eb2c4739fc189b8d9bb20aa8969c00ac8e25ae26817b02a4f0e9075c16,0.9999999403953552
21,attack_flow::Black Basta Ransomware::0022,0,,848,0,22c7b176224befff8ec662b3d27c69b997f1efd086034fa631fb4c288c4ddedc,1.0000001192092896
22,attack_flow::Black Basta Ransomware::0023,0,,912,0,b0277faef6c4d35e990240d41e180d71c5b59aab813596b55bc11ddec677962c,1.0
23,attack_flow::Black Basta Ransomware::0024,0,,1008,0,0070867ca35147aaa51a2141db71c943371be3fb588b71a4ab39b27b0a1feaf6,1.0
24,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0001,0,,41,0,a5ed6108fc3688fb5904d760d1047ab20913bff7cee555b361aaf74ced902b3c,1.0000001192092896
25,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0002,0,,71,0,f7ae6881ec667d4e122100fdbee365ba89a8af8ff86a9cf6c95a076ada92bd16,0.9999998807907104
26,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0003,0,,108,0,3a401248ffecba0a2f6a88115cabbeddb98086a02db61582150969f1e472891a,0.9999998807907104
27,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0004,0,,148,0,2618be3b665018eecb05e2ba87c93c8dcd8a62ebd088c127996179a67bcc1646,1.0000001192092896
28,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0005,0,,211,0,4aab75f1e0853e392fec198522cf28f043faeb5945617a94df97c2cbfaec202a,0.9999999403953552
29,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0006,0,,254,0,0cdfdd34d1b9269a179afc974ab60b0bf02041da09653325e5774db3d2292137,1.0
30,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0007,0,,293,0,eca295f036188f5bc764263c73e72d0b7399b4b47fdb8b6ed2a6bd304a658e41,0.9999999403953552
31,attack_flow::CISA AA22-138B VMWare Workspace (Alt)::0008,0,,330,0,36597cda3a7987d6cf34ac2f080c7279bcd2a4b03fd60c30231b3cb4898ceabe,1.0
32,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0001,0,,46,0,e44d1ebf99c3116073976cef49a845f00e58bb8fdee55a2715c0e71111cfcb00,0.9999999403953552
33,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0002,0,,72,0,711834db440b3ecd8180fe49c475d2c8e82e1972b1fc37bed66ac1946fe2b051,1.0000001192092896
34,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0003,0,,112,0,a8f6c83dd2d76dc3928ab74b4dbe62fd4cbcf564fba93fe15143602293fbf03c,1.0000001192092896
35,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0004,0,,148,0,7734dabe52f7a5c9f441a475a36bcfaec86cc36a4bb71cd891752677409bc06e,0.9999999403953552
36,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0005,0,,194,0,de61f2ee9569be008525336e89910b797344f1f43e786f7bb8492ccb332296e4,1.0
37,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0006,0,,225,0,ee8cffc50af208eefe7a6f861ddd91786470fa02d1ebdbfe36d5c39847066696,0.9999999403953552
38,attack_flow::CISA AA22-138B VMWare Workspace (TA1)::0007,0,,290,0,fad98711ee510807652ab766b41f95290d3dc8d788c78d925eda517912cfa32a,0.9999998807907104
