development_slot,sample_id,source_audit_only,prefix_len,b0_top5,a_top5,t_top5,k_top5,candidate_union,candidate_union_size,shuffle_donor_map,target_fields_used_by_builder
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,12,"[""T1059"",""T1027"",""T1105"",""T1486"",""T1562""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1003"",""T1016"",""T1027"",""T1041"",""T1059"",""T1070"",""T1105"",""T1486"",""T1562""]",9,"{""T1003"":""T1016"",""T1016"":""T1027"",""T1027"":""T1041"",""T1041"":""T1059"",""T1059"":""T1070"",""T1070"":""T1105"",""T1105"":""T1486"",""T1486"":""T1562"",""T1562"":""T1003""}",0
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,13,"[""T1003"",""T1078"",""T1053"",""T1098"",""T1105""]","[""T1057"",""T1069"",""T1049"",""T1016"",""T1018""]","[""T1057"",""T1069"",""T1049"",""T1016"",""T1018""]","[""T1057"",""T1069"",""T1049"",""T1016"",""T1018""]","[""T1003"",""T1016"",""T1018"",""T1049"",""T1053"",""T1057"",""T1069"",""T1078"",""T1098"",""T1105""]",10,"{""T1003"":""T1078"",""T1016"":""T1098"",""T1018"":""T1105"",""T1049"":""T1003"",""T1053"":""T1016"",""T1057"":""T1018"",""T1069"":""T1049"",""T1078"":""T1053"",""T1098"":""T1057"",""T1105"":""T1069""}",0
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,17,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1041""]","[""T1074"",""T1041"",""T1560"",""T1018"",""T1003""]","[""T1074"",""T1041"",""T1560"",""T1018"",""T1003""]","[""T1074"",""T1041"",""T1560"",""T1105"",""T1005""]","[""T1003"",""T1005"",""T1018"",""T1021"",""T1041"",""T1074"",""T1078"",""T1105"",""T1560""]",9,"{""T1003"":""T1005"",""T1005"":""T1018"",""T1018"":""T1021"",""T1021"":""T1041"",""T1041"":""T1074"",""T1074"":""T1078"",""T1078"":""T1105"",""T1105"":""T1560"",""T1560"":""T1003""}",0
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,9,"[""T1059"",""T1105"",""T1055"",""T1087"",""T1003""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1003"",""T1018"",""T1021"",""T1055"",""T1059"",""T1070"",""T1087"",""T1105""]",8,"{""T1003"":""T1070"",""T1018"":""T1087"",""T1021"":""T1105"",""T1055"":""T1003"",""T1059"":""T1018"",""T1070"":""T1021"",""T1087"":""T1055"",""T1105"":""T1059""}",0
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,7,"[""T1078"",""T1021"",""T1003"",""T1105"",""T1059""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1041"",""T1567"",""T1048"",""T1486""]","[""T1003"",""T1018"",""T1021"",""T1041"",""T1048"",""T1059"",""T1070"",""T1078"",""T1105"",""T1486"",""T1567""]",11,"{""T1003"":""T1048"",""T1018"":""T1059"",""T1021"":""T1070"",""T1041"":""T1078"",""T1048"":""T1105"",""T1059"":""T1486"",""T1070"":""T1567"",""T1078"":""T1003"",""T1105"":""T1018"",""T1486"":""T1021"",""T1567"":""T1041""}",0
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,6,"[""T1078"",""T1021"",""T1059"",""T1005"",""T1505""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1105"",""T1021"",""T1018"",""T1003"",""T1070""]","[""T1003"",""T1005"",""T1018"",""T1021"",""T1059"",""T1070"",""T1078"",""T1105"",""T1505""]",9,"{""T1003"":""T1005"",""T1005"":""T1018"",""T1018"":""T1021"",""T1021"":""T1059"",""T1059"":""T1070"",""T1070"":""T1078"",""T1078"":""T1105"",""T1105"":""T1505"",""T1505"":""T1003""}",0
attack_flow:medium:4,attack_flow::Muddy Water::0007,attack_flow,7,"[""T1105"",""T1059"",""T1005"",""T1003"",""T1021""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1003"",""T1005"",""T1016"",""T1021"",""T1041"",""T1059"",""T1070"",""T1105""]",8,"{""T1003"":""T1059"",""T1005"":""T1070"",""T1016"":""T1105"",""T1021"":""T1003"",""T1041"":""T1005"",""T1059"":""T1016"",""T1070"":""T1021"",""T1105"":""T1041""}",0
attack_flow:short:1,attack_flow::Gootloader::0004,attack_flow,4,"[""T1059"",""T1204"",""T1105"",""T1078"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1105"",""T1070"",""T1016"",""T1041"",""T1003""]","[""T1003"",""T1016"",""T1041"",""T1059"",""T1070"",""T1078"",""T1105"",""T1204""]",8,"{""T1003"":""T1078"",""T1016"":""T1105"",""T1041"":""T1204"",""T1059"":""T1003"",""T1070"":""T1016"",""T1078"":""T1041"",""T1105"":""T1059"",""T1204"":""T1070""}",0
attack_flow:short:2,attack_flow::Maastricht University Ransomware::0002,attack_flow,2,"[""T1059"",""T1105"",""T1547"",""T1021"",""T1003""]","[""T1069"",""T1059"",""T1574"",""T1082"",""T1105""]","[""T1069"",""T1059"",""T1574"",""T1082"",""T1105""]","[""T1069"",""T1059"",""T1574"",""T1082"",""T1105""]","[""T1003"",""T1021"",""T1059"",""T1069"",""T1082"",""T1105"",""T1547"",""T1574""]",8,"{""T1003"":""T1105"",""T1021"":""T1547"",""T1059"":""T1574"",""T1069"":""T1003"",""T1082"":""T1021"",""T1105"":""T1059"",""T1547"":""T1069"",""T1574"":""T1082""}",0
attack_flow:short:3,attack_flow::Mac Malware Steals Crypto::0003,attack_flow,3,"[""T1003"",""T1021"",""T1078"",""T1059"",""T1105""]","[""T1105"",""T1021"",""T1070"",""T1003"",""T1547""]","[""T1105"",""T1021"",""T1070"",""T1003"",""T1547""]","[""T1105"",""T1486"",""T1041"",""T1489"",""T1490""]","[""T1003"",""T1021"",""T1041"",""T1059"",""T1070"",""T1078"",""T1105"",""T1486"",""T1489"",""T1490"",""T1547""]",11,"{""T1003"":""T1070"",""T1021"":""T1078"",""T1041"":""T1105"",""T1059"":""T1486"",""T1070"":""T1489"",""T1078"":""T1490"",""T1105"":""T1547"",""T1486"":""T1003"",""T1489"":""T1021"",""T1490"":""T1041"",""T1547"":""T1059""}",0
