development_slot,sample_id,source_audit_only,arm,candidate_count,b0_reproduced,allowed_training_sources,user_prompt_chars,request_payload_sha256,source_literal_redactions,campaign_literal_redactions,network_status
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",2059,7ba4d598436252cd42c6d11a5139d591d4197f1d85ca9ec25d816eff87d44cb8,0,1,NOT_SENT
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,UNION_LLM,9,1,"[""ctid"",""stockpile""]",3069,15154c071b6ddb2a55ed7cbbe7a96ed5d79f5a335ee8111d9b5247632ee704b5,0,1,NOT_SENT
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,EDLR,9,1,"[""ctid"",""stockpile""]",6008,11840c21a6eafdffad5795fad127bb9b50fd716502a7a42d1c39a7ffe88cd33c,0,1,NOT_SENT
attack_flow:long:1,attack_flow::WhisperGate::0012,attack_flow,EDLR_SHUFFLE,9,1,"[""ctid"",""stockpile""]",6008,56720d1ab47d0dcf430fe56440c1446fe32a69a53e6844cc84f1faab886a602d,0,1,NOT_SENT
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",2651,509ee8fbb2ee04cb336acb5d544cfa07fccd0410044c3b1408e299e05f7b011d,0,0,NOT_SENT
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,UNION_LLM,10,1,"[""ctid"",""stockpile""]",3811,4f6f4ff8b52dca5b6b70d709173601ba83d4330fbbcc9d35a2343bf6f790640b,0,0,NOT_SENT
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,EDLR,10,1,"[""ctid"",""stockpile""]",7098,9902d48800e22de22a9f655d760cec67892cdb05576985a9988bf9f9317b997b,0,0,NOT_SENT
attack_flow:long:2,attack_flow::Conti Ransomware::0013,attack_flow,EDLR_SHUFFLE,10,1,"[""ctid"",""stockpile""]",7098,8d86c62ec15581e91ebe2195c9aab2ce5201d47d2a6f9c26ea8722c3f859e6e7,0,0,NOT_SENT
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",3778,c36fc4df825f9232925f098b1f196cdef8284d236dd3e079fc476ee68db07bff,0,3,NOT_SENT
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,UNION_LLM,9,1,"[""ctid"",""stockpile""]",4751,f180d70c23993a88ff7d4968268857f3d0f5750cfa1946a366212c437dcb5e38,0,3,NOT_SENT
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,EDLR,9,1,"[""ctid"",""stockpile""]",7688,0cf414b5bec5f82bd39abaed94daeb611922849dc1d2dcbadb7ea8dd2d30b73c,0,3,NOT_SENT
attack_flow:long:3,attack_flow::SolarWinds::0017,attack_flow,EDLR_SHUFFLE,9,1,"[""ctid"",""stockpile""]",7688,9871efe7e8c6aa0d7ddda92e12fd737f2c6abca396c61923aa3f6309046482b1,0,3,NOT_SENT
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",1449,46528b969f8eae97ac87071b2a7498af17ed6ece7d8c1b9675c4ac112e605b33,0,0,NOT_SENT
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,UNION_LLM,8,1,"[""ctid"",""stockpile""]",2283,86afc792cc9e716e10a5f7b662c6a62a4f98471c75a26bee02aeb79dbce3ca3b,0,0,NOT_SENT
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,EDLR,8,1,"[""ctid"",""stockpile""]",4879,a69beb14608518c0161fa620bca755d7f222911ce65ac1d42af4bf9ed5878bf0,0,0,NOT_SENT
attack_flow:medium:1,attack_flow::Hancitor DLL::0009,attack_flow,EDLR_SHUFFLE,8,1,"[""ctid"",""stockpile""]",4879,2dd2360f72b83cf7ef8a3bb85e3d47afab4c891f11dd5cd0008b307b3b8ed5ff,0,0,NOT_SENT
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",1546,dcc20384a3ee8fa5605abe835038d9b9e77fe64d81f1897c95de01a2bd2739c0,0,0,NOT_SENT
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,UNION_LLM,11,1,"[""ctid"",""stockpile""]",2858,167bb595e881c398b8f1fba7667350e1c307197530820c42854978ec7ec19424,0,0,NOT_SENT
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,EDLR,11,1,"[""ctid"",""stockpile""]",6477,93aef9dc86b8b640bb6bca6188dd9c30a295e22e234f0aafdf4a7cceacea80da,0,0,NOT_SENT
attack_flow:medium:2,attack_flow::JP Morgan Breach::0007,attack_flow,EDLR_SHUFFLE,11,1,"[""ctid"",""stockpile""]",6477,ff7d53b6cf6e2165164a2feda103369e222044753151e88945b9fe338842c569,0,0,NOT_SENT
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",1170,00c6ed481bd354902d44b6eef7f8252806a3ef1ee0280e87c1ab083233bfcc64,0,0,NOT_SENT
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,UNION_LLM,9,1,"[""ctid"",""stockpile""]",2168,40fb177d2d3c93e767fd0d60873a71ecc8a62be723689860e19b7fd5019424ba,0,0,NOT_SENT
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,EDLR,9,1,"[""ctid"",""stockpile""]",5105,4ed6615efd3f08f2db59998b9e0f8da7625b685734fa7e8da5547d4084f9b426,0,0,NOT_SENT
attack_flow:medium:3,attack_flow::FIN13 Case 2::0006,attack_flow,EDLR_SHUFFLE,9,1,"[""ctid"",""stockpile""]",5105,9698ad0e9aef688364bd11a546a56f247cbd266eaf04ad6418a84247ba91ffd5,0,0,NOT_SENT
attack_flow:medium:4,attack_flow::Muddy Water::0007,attack_flow,EA_TOP5,5,1,"[""ctid"",""stockpile""]",1749,cf9cadb5a6c145facc6d6b140c2a920d02733e596596ce319a53d9c655e3d6ba,0,0,NOT_SENT
attack_flow:medium:4,attack_flow::Muddy Water::0007,attack_flow,UNION_LLM,8,1,"[""ctid"",""stockpile""]",2606,146ece42a25dd14ea6f6f351686aa2c9162f38da094f04878095e5a5afabe9e4,0,0,NOT_SENT
