sample_id,source_audit_only,campaign_id_audit_only,prefix_len,observed_events,target_steps_excluded,source_literal_redactions,campaign_literal_redactions,request_payload_sha256,network_status
attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,1,3,0,0,8510b21cd63f9f0f3fe52c5f3410527b5e56deca417439fea12cac3f0ef00daa,NOT_SENT
attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,2,3,0,0,5a3ee2b72460dac01d44f0bc942952e7ed8619ce913307f7e137a02181058c95,NOT_SENT
attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,3,3,0,0,61745fe7befcf5831991869c4ad8898e3167af56b37871947d3ba56fbb0a9a22,NOT_SENT
attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,4,3,0,0,9c860599e15467f2d86527fde068d3f03f628f34c2135d405584d576c87d7091,NOT_SENT
attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,5,3,0,0,74b0b1ecf1e7c24c62f114b68c5541941b1e3ec4e92a2028bf50b557891f9de8,NOT_SENT
attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,6,3,0,0,bb491c3927d2a1a35abfb00f73de5b02b641b1b26f30facd9ab0883d0f74cfe0,NOT_SENT
attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,7,3,0,0,f8c5def51baa8e51f4b1024659ebe054c7e24e904dc568e3b45a7a94c9501b42,NOT_SENT
attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,8,3,0,0,61764df869736a09b6bf53eefb760ecfef690de0778f572459964bb2df69df42,NOT_SENT
attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,9,3,0,0,b45fc0b90ec5b5d757384433659f18306cd9f43256b8cce9e675f06ff16f491c,NOT_SENT
attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,10,3,0,0,a564ea012d2845aacc0ead673c3d91f57573ede5a353260931bae85aa8e315dd,NOT_SENT
attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,11,11,3,0,0,fc0d64ec4d5927052b4a38b24545aba3b8be7db4ac44e1af01d6b9cc68fc0396,NOT_SENT
attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,12,12,3,0,0,7edf47ce526d436f24235a3ea16636056e7a2bdcc30727e8b4f7c66fa44d28da,NOT_SENT
attack_flow::Black Basta Ransomware::0013,attack_flow,Black Basta Ransomware,13,13,3,0,0,d1e073c6c8769bb6e11c544686dcc5b203f903d1cedf008bed956cbbcbc9eb9c,NOT_SENT
attack_flow::Black Basta Ransomware::0014,attack_flow,Black Basta Ransomware,14,14,3,0,0,41b8ea67e9f533d5c68992b190d46750604f0f7d2f6f02011c69d79b9481a937,NOT_SENT
attack_flow::Black Basta Ransomware::0015,attack_flow,Black Basta Ransomware,15,15,3,0,0,f8a030cfb083bccc5b5ca2c5889e0a215c196344e31927a68e2995e90d04ca24,NOT_SENT
