sample_id,held_out_source,campaign_id,prefix_len,target_parent_ids,target_size,predicted_next_ttps
attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,"[""T1140"",""T1204"",""T1059""]",3,"[""T1204"",""T1059"",""T1105"",""T1547"",""T1027""]"
attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,"[""T1204"",""T1059""]",2,"[""T1204"",""T1059"",""T1105"",""T1071"",""T1021""]"
attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,"[""T1059"",""T1574""]",2,"[""T1203"",""T1059"",""T1105"",""T1055"",""T1027""]"
attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,"[""T1059"",""T1574"",""T1218""]",3,"[""T1105"",""T1059"",""T1071"",""T1547"",""T1003""]"
attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,"[""T1574"",""T1218"",""T1136""]",3,"[""T1059"",""T1105"",""T1027"",""T1547"",""T1003""]"
attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,"[""T1218"",""T1136"",""T1484""]",3,"[""T1059"",""T1003"",""T1021"",""T1078"",""T1105""]"
attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,"[""T1136"",""T1484"",""T1098""]",3,"[""T1059"",""T1105"",""T1003"",""T1021"",""T1078""]"
attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,"[""T1484"",""T1098"",""T1573""]",3,"[""T1059"",""T1021"",""T1003"",""T1105"",""T1078""]"
attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,"[""T1098"",""T1573"",""T1105""]",3,"[""T1059"",""T1078"",""T1021"",""T1003"",""T1105""]"
attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,"[""T1573"",""T1105"",""T1555""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1055""]"
attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,11,"[""T1105"",""T1555"",""T1021""]",3,"[""T1021"",""T1003"",""T1078"",""T1105"",""T1482""]"
attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,12,"[""T1555"",""T1021"",""T1569""]",3,"[""T1003"",""T1021"",""T1078"",""T1055"",""T1041""]"
attack_flow::Black Basta Ransomware::0013,attack_flow,Black Basta Ransomware,13,"[""T1021"",""T1569"",""T1562""]",3,"[""T1021"",""T1003"",""T1078"",""T1055"",""T1047""]"
attack_flow::Black Basta Ransomware::0014,attack_flow,Black Basta Ransomware,14,"[""T1569"",""T1562"",""T1560""]",3,"[""T1003"",""T1021"",""T1105"",""T1059"",""T1078""]"
attack_flow::Black Basta Ransomware::0015,attack_flow,Black Basta Ransomware,15,"[""T1562"",""T1560"",""T1573""]",3,"[""T1021"",""T1003"",""T1105"",""T1569"",""T1486""]"
attack_flow::Black Basta Ransomware::0016,attack_flow,Black Basta Ransomware,16,"[""T1560"",""T1573"",""T1567""]",3,"[""T1003"",""T1482"",""T1083"",""T1078"",""T1486""]"
attack_flow::Black Basta Ransomware::0017,attack_flow,Black Basta Ransomware,17,"[""T1573"",""T1567"",""T1047""]",3,"[""T1021"",""T1005"",""T1485"",""T1078"",""T1105""]"
