sample_id,source_audit_only,campaign_id_audit_only,prefix_len,summary_characters,summary_text_sha256
attack_flow::Black Basta Ransomware::0001,attack_flow,Black Basta Ransomware,1,139,0c6b1a8ec2a524a5719021b127a3858b9f6dbf54642a535f1e7f26c1d142cdfc
attack_flow::Black Basta Ransomware::0002,attack_flow,Black Basta Ransomware,2,141,3c5c4cef7d81510f37cb348976acf51606c6c2272ed783bba4114753ccbe90f9
attack_flow::Black Basta Ransomware::0003,attack_flow,Black Basta Ransomware,3,163,34dda851423e5ac670a5ac4d76e4d7198dfaccf5595d484c4d513a795ab4f407
attack_flow::Black Basta Ransomware::0004,attack_flow,Black Basta Ransomware,4,152,64694b52bd6015e7cdafed245746bcd699adcff0777e3c5222fd14e5ec55695e
attack_flow::Black Basta Ransomware::0005,attack_flow,Black Basta Ransomware,5,196,e42a0c7ac5003b58abb1e0195a287d07f751713e62a9357c75fd9863096403bf
attack_flow::Black Basta Ransomware::0006,attack_flow,Black Basta Ransomware,6,188,b9774e4d984dc44c25dd41f314fde3134cbc9413114d0e82925951286c6e6231
attack_flow::Black Basta Ransomware::0007,attack_flow,Black Basta Ransomware,7,229,73a16324fa9a89887e893221ed45aae61da7704b2230a7453859a125bb1cff82
attack_flow::Black Basta Ransomware::0008,attack_flow,Black Basta Ransomware,8,187,d536badded433a7be4e10eda92eeaf22df0059ab1aafb3b736f5b3270e03fb99
attack_flow::Black Basta Ransomware::0009,attack_flow,Black Basta Ransomware,9,190,b077e7f036cb485a455f1a069d8ee5cc761d9745bf97931c9a08257a943f64e0
attack_flow::Black Basta Ransomware::0010,attack_flow,Black Basta Ransomware,10,204,a4387eb016a9550a50207109de9e632bb600f8c894429dc1cf358367fc3b5e78
attack_flow::Black Basta Ransomware::0011,attack_flow,Black Basta Ransomware,11,220,d76d043c619536351519f8eea25a57dd8c7eba804994ef8bc27adfd4da4e4d50
attack_flow::Black Basta Ransomware::0012,attack_flow,Black Basta Ransomware,12,253,44747e3f0009730451b7e22fa01dfb6370eedde04e23c25ec368f8111d9d18c4
attack_flow::Black Basta Ransomware::0013,attack_flow,Black Basta Ransomware,13,255,efff5a4c1fe1d36f5799c095f17f6aaf8b72a3ffad84387a40a80f19ebb77a17
attack_flow::Black Basta Ransomware::0014,attack_flow,Black Basta Ransomware,14,256,36fc422c71a59a0a61d7257aec81e56153b7e7e233ea7df7539c8944f86de01c
attack_flow::Black Basta Ransomware::0015,attack_flow,Black Basta Ransomware,15,264,fb6e6863f2e84d495661bd1e36c5309da7748c47d8a91583be6ea541bea4b9aa
attack_flow::Black Basta Ransomware::0016,attack_flow,Black Basta Ransomware,16,301,513cacd268c8f9bc3b511a224a6a252daff3bc81ebb7d29d21ebe737f55bce10
attack_flow::Black Basta Ransomware::0017,attack_flow,Black Basta Ransomware,17,311,77210972b8b6b233e59ce052753ab02885b042bc96b8ef586a8dace7d2a86de0
attack_flow::Black Basta Ransomware::0018,attack_flow,Black Basta Ransomware,18,284,0a005e6af342afd402f5372f54566651635c3e26242a1d5c190b65afa76dc93f
attack_flow::Black Basta Ransomware::0019,attack_flow,Black Basta Ransomware,19,303,f0c0c89f59a9cb4725af85299e2da19f9db00545d35eb6abae642c97a764e752
attack_flow::Black Basta Ransomware::0020,attack_flow,Black Basta Ransomware,20,300,edd8ea2bd5cb685ac657251f9fbf8d7192e3770bb3455b3ec14f3fc5ceb17d3e
attack_flow::Black Basta Ransomware::0021,attack_flow,Black Basta Ransomware,21,321,22e8d2ba199993ff2fa38f7174e524c3f7f55bc121c195d0852c31a975bea414
attack_flow::Black Basta Ransomware::0022,attack_flow,Black Basta Ransomware,22,339,d8bd343360db83d72953dda48e85464054c2fc988a3f8b7a2b0d4e1fd06d1ca1
